1.51,-0.41,2.4,0.33,-0.64,-1.54,0.43,-0.16,-0.16,-0.1,0.95,-1,1.04,0.73,-2.59,-0.06,-0.39,-0.2,-0.45,2.45,-2.53,-0.77,-1.22,0.88,0.16,-0.7,0.33,-0.43,1.57,-0.45,-0.01,-1.34,0.35,1.17,0.8,1.75,0.1,2.17,-0.8,0.13
0.39,-0.39,-0.04,1.06,-0.46,-0.3,-0.24,1.46,0.42,0.56,-0.39,-0.67,0.1,0.95,1.31,-2.13,0.65,0.89,2.17,-0.17,-0.94,0.3,-0.02,-0.14,0.33,0.72,0.98,-0.66,1.3,0.93,0.62,0.4,0.73,2.24,0.99,-0.95,-0.46,0.06,-0.02,-0.82
-0.62,-0.06,0.69,-0.3,1.43,-0.53,1.06,-0.77,-0.4,-1.19,-0.28,0.95,-0.45,0,-0.64,0.34,1.12,-0.03,1.25,-1.04,-0.97,1.28,0.7,0.47,-0.39,0.47,-0.84,0.96,-0.24,-0.2,-1.28,-0.11,0.67,0.3,-0.79,1.64,-1.47,-1.35,-2.51,-0.04
-2.21,1.1,0.03,0.37,-0.65,-0.65,0.89,-0.43,-1.37,1.1,0.86,0.43,-0.66,-0.35,-0.43,-1.9,-0.77,-0.65,0.6,-1.97,0.05,0.6,-0.59,0.38,-1.4,-0.97,-0.97,1.56,-1.22,1.19,-0.12,0.68,-2.42,-1.04,-0.31,-0.87,0.15,-0.37,2.21,0.78
1.12,0.76,-0.74,0.27,-0.21,-0.06,-0.62,-0.93,0.99,-0.01,1.72,1.01,-0.04,-0.53,-0.17,-0.81,-0.51,0.65,0,0.51,-0.4,-0.31,-0.61,-0.76,2.68,0.56,-1.77,-1.04,-0.33,0.5,0.18,-0.79,-0.24,-0.98,0.36,0.27,1.77,-0.93,-1.49,0.68
-0.04,-0.16,0.19,-0.54,-0.39,-1.91,2.21,-0.18,1.52,0.71,0.27,-0.39,1.07,0.74,0.61,1.32,0.52,-0.43,0.28,-1.09,0.23,-0.42,1.1,-0.29,-0.42,-2.43,-0.32,0.93,-2.41,-2.25,1.69,-0.09,1.98,2.01,1.4,0.22,-0.65,-0.04,-1.16,-0.48
-0.02,-0.25,-1.8,1.21,-0.32,1.18,-0.26,0.4,-0.31,1.03,-0.42,0.38,-0.48,-1.06,0.68,0.62,1.02,1.77,-0.71,2.28,-0.42,0.36,-0.25,-0.13,-0.3,-0.34,-1.34,-0.08,-0.31,-1.34,0.64,1.38,0.8,-2.07,-0.06,-0.28,-0.2,0.68,1.46,-0.67
0.94,0.7,1.47,1.16,-0.28,-1.66,-1.42,-0.73,-1.25,0.22,-1.19,0.24,-0.12,0.25,0.57,1.09,-0.25,-0.02,0.63,-0.89,0.37,0.51,-0.16,1.39,-1.79,0.71,0.69,-1.97,1.66,1.28,1.28,0.17,-1.71,3.06,-1.7,1.39,0.69,0.87,-2.19,0.51
0.82,0.56,0.15,0.7,0.49,-0.46,-0.14,0.83,0.64,-0.88,-0.33,-1.43,-1.29,-0.29,-0.57,0.31,-1.43,0.85,1.48,0.11,-0.37,0.02,-0.63,-1.04,-0.25,-0.66,0.07,-0.76,0.13,0.69,0.14,0.82,-1.66,-0.26,0.23,-0.66,0.04,0.24,0.74,1.05
0.59,-0.69,2.17,1.59,-0.18,-1.12,0.21,-1.21,-0.04,1.16,-0.94,1.78,0.49,-2.26,-1.36,-0.11,1.71,0.21,1.08,3.81,1.19,1.32,0.9,-2.11,-0.25,-0.04,2.19,0.46,1.1,-0.97,-1.11,-0.22,0.49,-0.45,-0.12,0.66,1.94,-0.93,-0.34,0.12
0.92,-0.71,0.48,0.56,-0.51,-0.75,2.31,-1.05,-1.73,-2,-0.26,0.13,1.31,-1.41,-0.39,-0.92,1.44,-3.01,-0.81,-1.11,-0.74,-0.07,-0.99,0.77,-0.26,-1.59,-1.16,0.15,0.49,-1.35,-0.34,-1.03,-0.17,0.16,1.77,-0.01,0.74,0.81,0.46,-0.31
0.78,0.36,-0.71,-1.28,1.34,2.09,0.11,1.44,0,-0.54,0.39,0.77,1.5,0.92,0.28,1.59,-0.71,-1.37,-1.62,0.31,0.29,-0.7,0.85,-0.82,-1.79,0.85,1.18,-2.44,-0.78,1.03,-1.66,-0.01,0.96,0.93,0.34,-0.93,2.32,1.35,0.88,-0.88
0.07,0.77,0.61,-0.57,-0.21,0.02,0.46,-1.02,-0.63,-0.26,-0.85,0.96,0.81,-0.19,-0.82,0.05,-0.07,-0.42,-0.11,-1.11,-0.88,0.54,0.81,-0.44,1.78,-1.85,-0.53,0.58,1.74,-0.81,0.93,-1.22,0.29,0.3,-0.62,1.21,0.35,2.25,-0.96,-0.42
-1.99,-0.11,-0.93,-1.22,-0.18,-1.29,-0.08,0.41,-0.34,-0.17,2.65,-0.05,-1.87,0.8,-0.07,-0.72,-1.76,0.24,0.44,0.35,0.21,-2.2,-0.47,0.9,1.76,-0.32,-1.46,0.66,-0.08,1.8,1.42,-2.6,0.08,-1.96,-0.44,-2.09,-1.13,-0.49,-0.71,-1.48
0.62,0.88,-1.25,-0.47,-0.1,-1.64,-0.33,-0.38,-1.16,1.02,0.16,-0.31,0.48,1.89,-1.17,0.87,0.57,-2.34,1.35,-0.87,-0.05,0.39,0.85,-0.76,0.69,-0.26,0.57,-0.3,-0.98,1.77,-0.06,1.17,0.18,0.35,-0.51,-0.53,0.42,0.47,-3,-0.7
